asset_id,file_path,asset_type,source_tool,source_url,author,license,generated_date,prompt_file,modified_by,notes
icon_app,icon.svg,svg_icon,asset-forge (Claude),,asset-forge (Claude),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0001-app-icon.md,,"Icône applicative — motif original Aegis Citadel (prisme axial, deux bras-batteries, noyau cyan), palette Helios Vanguard, aplats+strokes, 808 o"
graybox_palette,docs/forge/output/graybox_palette.md,color-spec,asset-forge (Claude),,asset-forge (Claude),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0002-graybox-palette.md,,"palette normative graybox ; contrastes WCAG 2.1 + simulation deutéranopie (Machado 2009) vérifiés"
pickup_power_core,assets/source/pickups/power_core.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0003-pickup-icons.md,,"Pickup Power Core original ; losange or à cœur axial"
pickup_shield_cell,assets/source/pickups/shield_cell.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0003-pickup-icons.md,,"Pickup Shield Cell original ; cellule hexagonale cyan"
pickup_missile_rack,assets/source/pickups/missile_rack.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0003-pickup-icons.md,,"Pickup Missile Rack original ; triple chevron orange"
pickup_orbit_drone,assets/source/pickups/orbit_drone.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0003-pickup-icons.md,,"Pickup Orbit Drone original ; anneau violet à quatre satellites"
pickup_overdrive_shard,assets/source/pickups/overdrive_shard.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0003-pickup-icons.md,,"Pickup Overdrive Shard original ; éclat magenta asymétrique"
pickup_score_prism,assets/source/pickups/score_prism.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0003-pickup-icons.md,,"Pickup Score Prism original ; prisme vert facetté"
pickup_rescue_beacon,assets/source/pickups/rescue_beacon.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0003-pickup-icons.md,,"Pickup Rescue Beacon original ; étoile blanche à balise cyan"
vfx_allied_pulse,assets/source/vfx/projectiles/allied_pulse.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0004-projectiles-telegraphs.md,,"Projectile allié standard ; pointe cyan à axe blanc"
vfx_allied_lance,assets/source/vfx/projectiles/allied_lance.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0004-projectiles-telegraphs.md,,"Projectile allié concentré ; lance cyan et garde or"
vfx_allied_missile,assets/source/vfx/projectiles/allied_missile.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0004-projectiles-telegraphs.md,,"Missile secondaire allié ; silhouette ailée or"
vfx_enemy_pulse,assets/source/vfx/projectiles/enemy_pulse.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0004-projectiles-telegraphs.md,,"Projectile ennemi standard ; cœur chaud et enveloppe corail"
vfx_enemy_arc,assets/source/vfx/projectiles/enemy_arc.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0004-projectiles-telegraphs.md,,"Projectile ennemi latéral ; arc asymétrique à cœur chaud"
vfx_enemy_mine_pulse,assets/source/vfx/projectiles/enemy_mine_pulse.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0004-projectiles-telegraphs.md,,"Fragment radial de mine ; étoile corail à cœur chaud"
vfx_telegraph_line,assets/source/vfx/telegraphs/line_attack.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0004-projectiles-telegraphs.md,,"Télégraphe linéaire ouvert à contours discontinus"
vfx_telegraph_radial,assets/source/vfx/telegraphs/radial_attack.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0004-projectiles-telegraphs.md,,"Télégraphe radial à doubles anneaux discontinus"
vfx_hull_impact,assets/source/vfx/combat/hull_impact.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0005-combat-vfx.md,,"Impact mécanique original ; éclat froid à noyau or"
vfx_shield_impact,assets/source/vfx/combat/shield_impact.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0005-combat-vfx.md,,"Impact énergétique original ; cellule cyan fracturée"
vfx_small_explosion,assets/source/vfx/combat/small_explosion.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0005-combat-vfx.md,,"Petite explosion angulaire pour drone"
vfx_medium_explosion,assets/source/vfx/combat/medium_explosion.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0005-combat-vfx.md,,"Explosion moyenne multicouche pour appareil"
vfx_heavy_explosion,assets/source/vfx/combat/heavy_explosion.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0005-combat-vfx.md,,"Explosion lourde désaturée pour structure"
vfx_debris_burst,assets/source/vfx/combat/debris_burst.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0005-combat-vfx.md,,"Projection originale de fragments mécaniques"
vfx_sparks,assets/source/vfx/combat/sparks.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0005-combat-vfx.md,,"Gerbe radiale d'étincelles froides et or"
vfx_shockwave,assets/source/vfx/combat/shockwave.svg,svg_vfx,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0005-combat-vfx.md,,"Onde de choc concentrique froide"
specter_9_concept_sheet,assets/source/concepts/specter_9_concept_sheet.png,concept-art,imagegen (OpenAI),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/output/specter_9_generation_prompt.md,asset-forge (Codex),"Planche concept originale du Specter-9 ; vues multiples, cockpit, propulsion, appontage et états fonctionnels"
null_choir_enemy_families,assets/source/concepts/null_choir_enemy_families_sheet.png,concept-art,imagegen (OpenAI),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/output/null_choir_enemy_generation_prompt.md,asset-forge (Codex),"Planche concept originale des sept familles ennemies ; deux vues par famille, ordre vertical défini par le brief"
choir_harvester_concept,assets/source/concepts/choir_harvester_concept_sheet.png,concept-art,imagegen (OpenAI),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/output/choir_harvester_generation_prompt.md,asset-forge (Codex),"Planche concept originale du mini-boss ; trois bras spécialisés, noyau à trois volets et cinq états fonctionnels"
docking_environments_concept,assets/source/concepts/docking_environments_concept_sheet.png,concept-art,imagegen (OpenAI),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/output/docking_environments_generation_prompt.md,asset-forge (Codex),"Planche concept originale des cinq étapes d'appontage et de leurs modules environnementaux"
ui_fighter_hud_frame,assets/source/ui/hud/fighter_hud_frame.svg,svg_ui,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0010-vertical-slice-ui.md,,"Cadre HUD chasseur 16:9 à panneaux ouverts"
ui_fortress_hud_frame,assets/source/ui/hud/fortress_hud_frame.svg,svg_ui,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0010-vertical-slice-ui.md,,"Cadre HUD forteresse 16:9 à accents tactiques or"
ui_mode_transition,assets/source/ui/hud/mode_transition.svg,svg_ui,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0010-vertical-slice-ui.md,,"Motif de transition chasseur-forteresse"
ui_danger_indicator,assets/source/ui/indicators/danger_indicator.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0010-vertical-slice-ui.md,,"Indicateur de danger hors écran à double chevron corail"
ui_objective_marker,assets/source/ui/indicators/objective_marker.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0010-vertical-slice-ui.md,,"Marqueur d'objectif cyan et or"
ui_system_shield,assets/source/ui/systems/shield.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0010-vertical-slice-ui.md,,"Icône de bouclier tactique"
ui_system_missiles,assets/source/ui/systems/missiles.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0010-vertical-slice-ui.md,,"Icône de missiles secondaires jumelés"
ui_system_rail_battery,assets/source/ui/systems/rail_battery.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0010-vertical-slice-ui.md,,"Icône de batterie lourde double rail"
ui_system_helios_lance,assets/source/ui/systems/helios_lance.svg,svg_icon,asset-forge (Codex),,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0010-vertical-slice-ui.md,,"Icône de charge Helios Lance"
audio_player_pulse,assets/source/audio/sfx/player_pulse.wav,audio-wav,asset-forge procedural synth,,asset-forge (Codex),proprietary-internal,2026-07-11,docs/forge/briefs/BRIEF-0011-audio-prototype.md,,"Tir allié synthétique original ; PCM mono 44.1 kHz"
